@relation comments
@attribute content string
@attribute result {-10,0,10}
@data
'ahah poso maresei otan vgenei o fernando xose apo to ama3i me polu grhgorh  kinhsh anoigei porta k vgazei guali ahah xd ein trela',0
'an ftaseis n zhthseis sugnwmh k na to enohs omws eicai xamenos ta la9h ta kanoume gia n ma9ainoume gt ti eimaste ena la9os )  sygxwroume kapoion epidi tn agapame gt mas exei kerdisei tn kardia  apo t kodina mas proswpa mexri t agorikoritsi mas to  sygnwmh  einai mia le3h ypotimiseis kalutera n peis leipame para sygnwmh einai san na les 3erw ekana malakia pws n epanwr9osw k st telos vrhskesai k n parakalaas',0
'dwse  pono re mhtso',0
'panemorfi kai fonara bravo ths teleia  kai teleio tragoudi',0
'einai kai gamw',0
'einai ena apo ta  agapimena m tragoudia tou danti auta ta tsiftetelorock tou danti  einai sketh porosh na ta akous )',0
'den  ginetai na eisai toso vlakas pragmatika bas k eisai kanas gios  nikolakopoulou mono etsi eksigeitai',0
'to kserw oti mas prosexeis olous s agapame den se ksexname pote eisai to pio fwteino kommataki stin zoi mas eimaste tyxeroi p s dwsame tin agapi mas kai pirame tin diki sou kai to fws s kai tin diki sou enas yperoxos anthrwpos apla den mas leipeis giati eisai panta mazi mas i  prwti skepsi mas stin eftyxia kai stin dystixia mas s efxaristw pou ypirkses rinoula mou tha thela mono na mporousa na s agaliazw pou kai pou sta dika m parapona',0
'o reported den iparxi re exi di to video  me tin proti sinenteyksi kai itan proetoimasmenos gia to ti tha akoloythisi',0
'8eiko  8elw n  vrw partitoures gia drums  h armonio  mporei kaneis n m voh8hsei plz',0
'phantom1rider opws vlepeis exeis faei trelo  kraksimo e den leei na arxisw k egw ta mpinelikia opws katalaves oti kai na peis pali kraksimo 8a fas katse pekse to poulaki sou  (pou auto to kaneis kalitera)  kai ta upoloipa asta gia  emas )',0
'komatara  bravo pedia',0
'einai teleio kataplhktiko teleio',0
'true cult',0
'terastios o pasxalis  eksakolouthei na einai fwnara kai na ta dinei ola  stis emfaniseis tou',0
'enw h dikh soy  logikh na me les toyrko enw exeis proswnymio sto ghpedo soy estw k ws pararsoykli genti koyle einai pio normal',0
'fovero  kai auto',0
'poli tetoio komato  3 kserei kaneis poso xronon einai to paidi',0
'kommatara',0
'gia na  doume tha pane ola kala kai an den pane pali tha tragoudame ola kala tha pane giati xreiazomaste tin elpida',0
'panmegiste strato',0
'poulimenou  txc',0
'julie32g to  video pou to vrikes  p',0
'einai  file mou poly',0
